
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:7D:B9:5E:D5:2F, 2019-05-20 19:02:15, 2019-05-20 19:03:11, 100, 540, WPA2, CCMP, MGT, -72,      380,      895,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
50:82:D5:C3:03:07, 2019-05-20 19:02:21, 2019-05-20 19:02:22, -85,        2, 70:7D:B9:5E:D5:2F,
B4:F7:A1:BD:C1:19, 2019-05-20 19:02:27, 2019-05-20 19:03:11, -85,      305, 70:7D:B9:5E:D5:2F,
6C:40:08:B4:97:24, 2019-05-20 19:02:15, 2019-05-20 19:03:07, -83,       79, 70:7D:B9:5E:D5:2F,
DC:A4:CA:DC:9F:C3, 2019-05-20 19:02:16, 2019-05-20 19:02:48, -81,        6, 70:7D:B9:5E:D5:2F,
AC:BC:32:A0:25:F3, 2019-05-20 19:02:15, 2019-05-20 19:03:01, -79,       30, 70:7D:B9:5E:D5:2F,
30:D9:D9:26:FD:02, 2019-05-20 19:03:00, 2019-05-20 19:03:00, -79,        1, 70:7D:B9:5E:D5:2F,
AC:37:43:DD:10:51, 2019-05-20 19:02:15, 2019-05-20 19:03:04, -77,       92, 70:7D:B9:5E:D5:2F,
88:AE:07:34:A4:E1, 2019-05-20 19:02:48, 2019-05-20 19:02:51, -77,        6, 70:7D:B9:5E:D5:2F,
20:C9:D0:94:1F:DB, 2019-05-20 19:02:15, 2019-05-20 19:03:04, -75,       63, 70:7D:B9:5E:D5:2F,
30:D9:D9:1E:C2:5C, 2019-05-20 19:02:20, 2019-05-20 19:02:54, -73,       42, 70:7D:B9:5E:D5:2F,
70:EF:00:9D:56:9A, 2019-05-20 19:02:28, 2019-05-20 19:02:29,  -1,       11, 70:7D:B9:5E:D5:2F,

