
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:BE:75:CF:00:4F, 2019-05-04 15:23:52, 2019-05-04 15:24:47, 52, 540, WPA2, CCMP, MGT, -57,      519,     2088,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
94:BF:2D:22:C5:7C, 2019-05-04 15:24:04, 2019-05-04 15:24:06, -85,       17, 00:BE:75:CF:00:4F,
90:E1:7B:0E:25:86, 2019-05-04 15:23:52, 2019-05-04 15:23:58, -83,       15, 00:BE:75:CF:00:4F,
80:B0:3D:EB:6B:5E, 2019-05-04 15:24:44, 2019-05-04 15:24:46, -65,       19, 00:BE:75:CF:00:4F,
9C:E3:3F:05:F9:12, 2019-05-04 15:23:52, 2019-05-04 15:24:47, -65,      133, 00:BE:75:CF:00:4F,
38:53:9C:93:D3:E7, 2019-05-04 15:24:30, 2019-05-04 15:24:39, -61,       48, 00:BE:75:CF:00:4F,
78:4F:43:80:A3:78, 2019-05-04 15:23:53, 2019-05-04 15:24:45, -61,      144, 00:BE:75:CF:00:4F,
38:53:9C:3E:72:3F, 2019-05-04 15:24:28, 2019-05-04 15:24:46, -57,       34, 00:BE:75:CF:00:4F,
8C:85:90:31:C8:36, 2019-05-04 15:23:53, 2019-05-04 15:24:46, -59,      120, 00:BE:75:CF:00:4F,
40:9C:28:9D:BF:01, 2019-05-04 15:24:24, 2019-05-04 15:24:24, -59,        2, 00:BE:75:CF:00:4F,
DC:08:0F:41:CD:05, 2019-05-04 15:23:55, 2019-05-04 15:24:46, -53,       41, 00:BE:75:CF:00:4F,
8C:85:90:2E:EC:78, 2019-05-04 15:23:52, 2019-05-04 15:24:46, -55,      320, 00:BE:75:CF:00:4F,
7C:D9:5C:A3:E7:AB, 2019-05-04 15:23:57, 2019-05-04 15:24:28, -55,        8, 00:BE:75:CF:00:4F,
F0:18:98:4E:6F:2C, 2019-05-04 15:23:53, 2019-05-04 15:24:44, -49,       74, 00:BE:75:CF:00:4F,
64:A2:F9:13:A3:25, 2019-05-04 15:24:03, 2019-05-04 15:24:33, -41,        2, 00:BE:75:CF:00:4F,
08:6D:41:D4:EC:30, 2019-05-04 15:23:53, 2019-05-04 15:24:46, -29,      143, 00:BE:75:CF:00:4F,

