
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:BE:75:CF:00:4F, 2019-05-04 19:10:17, 2019-05-04 19:10:22, 52, 540, WPA2, CCMP, MGT, -58,       42,      117,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:41:67:B1:E0:27, 2019-05-04 19:10:17, 2019-05-04 19:10:18, -77,        6, 00:BE:75:CF:00:4F,
8C:85:90:2E:EC:78, 2019-05-04 19:10:17, 2019-05-04 19:10:21, -59,       17, 00:BE:75:CF:00:4F,
E0:AC:CB:6F:2B:72, 2019-05-04 19:10:18, 2019-05-04 19:10:21, -53,       17, 00:BE:75:CF:00:4F,
98:5F:D3:ED:78:DE, 2019-05-04 19:10:18, 2019-05-04 19:10:21, -71,        6, 00:BE:75:CF:00:4F,
DC:08:0F:41:CD:05, 2019-05-04 19:10:18, 2019-05-04 19:10:21, -55,        6, 00:BE:75:CF:00:4F,
64:A2:F9:13:A3:25, 2019-05-04 19:10:18, 2019-05-04 19:10:20, -41,        6, 00:BE:75:CF:00:4F,
AC:BC:32:9F:55:A7, 2019-05-04 19:10:18, 2019-05-04 19:10:18, -49,        3, 00:BE:75:CF:00:4F,
C0:A6:00:3C:ED:79, 2019-05-04 19:10:18, 2019-05-04 19:10:21, -65,       35, 00:BE:75:CF:00:4F,
08:6D:41:D4:EC:30, 2019-05-04 19:10:21, 2019-05-04 19:10:21, -29,        1, 00:BE:75:CF:00:4F,
8C:85:90:07:5F:05, 2019-05-04 19:10:21, 2019-05-04 19:10:22, -69,        2, 00:BE:75:CF:00:4F,

