
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:BE:75:CF:00:4F, 2019-05-21 17:37:02, 2019-05-21 17:37:12, 52, 540, WPA2, CCMP, MGT, -72,       93,      352,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8C:85:90:D4:91:5E, 2019-05-21 17:37:04, 2019-05-21 17:37:04, -83,        1, 00:BE:75:CF:00:4F,
E0:33:8E:59:58:A7, 2019-05-21 17:37:07, 2019-05-21 17:37:11, -79,       19, 00:BE:75:CF:00:4F,
F4:0F:24:19:C6:C1, 2019-05-21 17:37:03, 2019-05-21 17:37:10, -87,       10, 00:BE:75:CF:00:4F,
8C:85:90:07:11:DD, 2019-05-21 17:37:02, 2019-05-21 17:37:12, -81,      123, 00:BE:75:CF:00:4F,
88:E9:FE:70:2F:8B, 2019-05-21 17:37:02, 2019-05-21 17:37:12, -79,       98, 00:BE:75:CF:00:4F,
4C:57:CA:7D:F8:93, 2019-05-21 17:37:02, 2019-05-21 17:37:10, -83,        8, 00:BE:75:CF:00:4F,
74:B5:87:45:B1:49, 2019-05-21 17:37:04, 2019-05-21 17:37:04, -77,        2, 00:BE:75:CF:00:4F,
4C:56:9D:24:C3:F9, 2019-05-21 17:37:03, 2019-05-21 17:37:11, -65,        9, 00:BE:75:CF:00:4F,
E8:B2:AC:E1:77:9F, 2019-05-21 17:37:04, 2019-05-21 17:37:12, -71,       42, 00:BE:75:CF:00:4F,
88:E9:FE:77:ED:67, 2019-05-21 17:37:02, 2019-05-21 17:37:12, -75,       25, 00:BE:75:CF:00:4F,
E0:33:8E:C1:40:EC, 2019-05-21 17:37:07, 2019-05-21 17:37:08, -69,        7, 00:BE:75:CF:00:4F,
E8:E8:B7:6B:1F:15, 2019-05-21 17:37:02, 2019-05-21 17:37:11, -79,       12, 00:BE:75:CF:00:4F,
DC:A9:04:74:0D:BF, 2019-05-21 17:37:02, 2019-05-21 17:37:12, -65,      128, 00:BE:75:CF:00:4F,
40:4E:36:84:37:06, 2019-05-21 17:37:06, 2019-05-21 17:37:10, -59,       16, 00:BE:75:CF:00:4F,
AC:BC:32:9F:55:A3, 2019-05-21 17:37:08, 2019-05-21 17:37:08, -65,        4, 00:BE:75:CF:00:4F,
00:B3:62:66:56:AE, 2019-05-21 17:37:08, 2019-05-21 17:37:11, -83,       20, 00:BE:75:CF:00:4F,
E0:5F:45:30:2A:F3, 2019-05-21 17:37:11, 2019-05-21 17:37:11, -65,        2, 00:BE:75:CF:00:4F,
F8:E9:4E:93:32:D8, 2019-05-21 17:37:11, 2019-05-21 17:37:12, -85,        9, 00:BE:75:CF:00:4F,
48:BF:6B:54:94:4B, 2019-05-21 17:37:12, 2019-05-21 17:37:12, -77,        2, 00:BE:75:CF:00:4F,

