
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:7D:B9:5E:D5:2F, 2019-05-21 17:22:53, 2019-05-21 17:23:03, 100, 540, WPA2, CCMP, MGT, -73,       96,      387,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F8:38:80:02:7B:6B, 2019-05-21 17:22:53, 2019-05-21 17:22:55, -83,       16, 70:7D:B9:5E:D5:2F,
AC:BC:32:A0:25:F3, 2019-05-21 17:22:53, 2019-05-21 17:23:02, -79,       12, 70:7D:B9:5E:D5:2F,
AC:BC:32:CD:AE:AF, 2019-05-21 17:22:54, 2019-05-21 17:23:02, -81,       10, 70:7D:B9:5E:D5:2F,
C0:B6:F9:44:66:46, 2019-05-21 17:22:54, 2019-05-21 17:23:01, -83,        7, 70:7D:B9:5E:D5:2F,
F0:18:98:A6:82:6D, 2019-05-21 17:22:53, 2019-05-21 17:22:53, -79,        3, 70:7D:B9:5E:D5:2F,
AC:5F:3E:CF:11:52, 2019-05-21 17:22:54, 2019-05-21 17:23:03, -81,       47, 70:7D:B9:5E:D5:2F,
20:C9:D0:94:1F:DB, 2019-05-21 17:22:53, 2019-05-21 17:23:01, -75,       12, 70:7D:B9:5E:D5:2F,
C0:B6:F9:44:66:D7, 2019-05-21 17:22:54, 2019-05-21 17:22:55, -77,        8, 70:7D:B9:5E:D5:2F,
88:AE:07:34:A4:E1, 2019-05-21 17:22:54, 2019-05-21 17:22:54, -71,        2, 70:7D:B9:5E:D5:2F,
5C:1D:D9:7D:CE:AF, 2019-05-21 17:22:55, 2019-05-21 17:23:03, -51,       16, 70:7D:B9:5E:D5:2F,
E0:33:8E:C1:40:EC, 2019-05-21 17:23:00, 2019-05-21 17:23:02, -85,        3, 70:7D:B9:5E:D5:2F,

