
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:BE:75:EA:35:4F, 2019-05-21 17:26:26, 2019-05-21 17:26:36, 36, 540, WPA2, CCMP, MGT, -64,       88,      469,   0.  0.  0.  0,   3, nyu, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
78:4F:43:A3:4C:C5, 2019-05-21 17:26:26, 2019-05-21 17:26:36, -83,       23, 00:BE:75:EA:35:4F,
60:F4:45:76:71:48, 2019-05-21 17:26:28, 2019-05-21 17:26:28, -81,        2, 00:BE:75:EA:35:4F,
DC:35:F1:5F:38:45, 2019-05-21 17:26:29, 2019-05-21 17:26:35, -81,      134, 00:BE:75:EA:35:4F,
CC:C0:79:56:3A:D2, 2019-05-21 17:26:27, 2019-05-21 17:26:32, -81,        7, 00:BE:75:EA:35:4F,
7C:D9:5C:A3:E7:AB, 2019-05-21 17:26:29, 2019-05-21 17:26:31, -79,        4, 00:BE:75:EA:35:4F,
F0:18:98:0C:F1:38, 2019-05-21 17:26:26, 2019-05-21 17:26:36, -77,       20, 00:BE:75:EA:35:4F,
A4:5E:60:D4:BB:03, 2019-05-21 17:26:26, 2019-05-21 17:26:35, -81,       11, 00:BE:75:EA:35:4F,
8C:85:90:31:C8:36, 2019-05-21 17:26:27, 2019-05-21 17:26:35, -73,       11, 00:BE:75:EA:35:4F,
B8:08:D7:AA:A4:D2, 2019-05-21 17:26:28, 2019-05-21 17:26:35, -83,       11, 00:BE:75:EA:35:4F,
78:7B:8A:87:CD:C2, 2019-05-21 17:26:30, 2019-05-21 17:26:36, -77,        6, 00:BE:75:EA:35:4F,
F4:5C:89:A3:ED:85, 2019-05-21 17:26:26, 2019-05-21 17:26:35, -79,       12, 00:BE:75:EA:35:4F,
B0:35:9F:06:DE:7A, 2019-05-21 17:26:27, 2019-05-21 17:26:27, -75,        1, 00:BE:75:EA:35:4F,
88:E9:FE:63:98:8F, 2019-05-21 17:26:28, 2019-05-21 17:26:35, -77,        7, 00:BE:75:EA:35:4F,
8C:85:90:2A:F8:7E, 2019-05-21 17:26:29, 2019-05-21 17:26:34, -73,        3, 00:BE:75:EA:35:4F,
3C:28:6D:E5:89:F2, 2019-05-21 17:26:26, 2019-05-21 17:26:32, -75,        6, 00:BE:75:EA:35:4F,
DC:D3:A2:DD:1C:1B, 2019-05-21 17:26:26, 2019-05-21 17:26:27, -71,        4, 00:BE:75:EA:35:4F,
5C:09:47:A4:1C:B0, 2019-05-21 17:26:26, 2019-05-21 17:26:29, -71,       33, 00:BE:75:EA:35:4F,
F0:18:98:A6:85:00, 2019-05-21 17:26:27, 2019-05-21 17:26:36, -75,       27, 00:BE:75:EA:35:4F,
E4:9A:DC:74:3A:F6, 2019-05-21 17:26:26, 2019-05-21 17:26:36, -61,       15, 00:BE:75:EA:35:4F,
F0:18:98:64:88:75, 2019-05-21 17:26:26, 2019-05-21 17:26:33, -69,       18, 00:BE:75:EA:35:4F,
B8:41:A4:8F:A7:DE, 2019-05-21 17:26:32, 2019-05-21 17:26:33, -83,        4, 00:BE:75:EA:35:4F,
40:9C:28:01:7F:1A, 2019-05-21 17:26:32, 2019-05-21 17:26:35, -73,        8, 00:BE:75:EA:35:4F,
9C:8B:A0:3B:75:72, 2019-05-21 17:26:32, 2019-05-21 17:26:33, -83,       10, 00:BE:75:EA:35:4F,
B0:19:C6:73:61:7D, 2019-05-21 17:26:33, 2019-05-21 17:26:33, -81,        1, 00:BE:75:EA:35:4F,
6C:72:E7:AE:94:68, 2019-05-21 17:26:34, 2019-05-21 17:26:34, -81,        1, 00:BE:75:EA:35:4F,
74:B5:87:45:B1:49, 2019-05-21 17:26:36, 2019-05-21 17:26:36, -79,        6, 00:BE:75:EA:35:4F,

